Station Name,Lat,Lon,Coordinate,PTAI,AI,II,IFI,OVERALL,OA,OI,Level
ท่าอากาศยานกระบี่,8.099280199999999,98.98319479999999,"8.099280199999999,98.98319479999999",2.23,2.31,2.15,1.24,55.91,56.8125,55,1
ท่าอากาศยานชุมพร,10.714486099999998,99.3587278,"10.714486099999998,99.3587278",2.3449999999999998,2.68,2.01,1.47,58.63,63.266666666666666,54,1
ท่าอากาศยานตรัง,7.512011,99.61547,"7.512011,99.61547",1.935,2.49,1.38,1.13,52.18,60.357142857142854,44,1
ท่าอากาศยานนครศรีธรรมราช,8.540025,99.9399875,"8.540025,99.9399875",1.865,1.93,1.8,1.49,50.78,51.5625,50,1
ท่าอากาศยานนราธิวาส,6.5231381,101.74872459999999,"6.5231381,101.74872459999999",1.415,1.57,1.26,1.33,46.34,47.6875,45,1
ท่าอากาศยานนานาชาติภูเก็ต,8.1110951,98.3064646,"8.1110951,98.3064646",2.41,2.87,1.95,1.45,58.68,65.35714285714286,52,1
ท่าอากาศยานนานาชาติสุราษฎร์ธานี,9.135717300000001,99.14131479999999,"9.135717300000001,99.14131479999999",2.175,2.3,2.05,1.2,56.69,58.375,55,1
ท่าอากาศยานหาดใหญ่,6.936216099999999,100.3937206,"6.936216099999999,100.3937206",2.645,2.97,2.32,1.31,63.88,69.75,58,1
ท่าอากาศยานเบตง,5.7859551,101.1475264,"5.7859551,101.1475264",1.75,2.01,1.49,1.25,50.66,54.3125,47,1
ท่าเทียบเรือปากเมง,7.507745,99.31208000000001,"7.507745,99.31208000000001",1.365,1.67,1.06,0.67,44.75,49.5,40,1
ท่าเทียบเรือศุลกากร ระนอง,9.9814236,98.6001052,"9.9814236,98.6001052",1.32,1.36,1.28,1.13,38.88,37.76470588235294,40,1
ท่าเทียบเรือหลักเมือง,6.8690239,101.2529468,"6.8690239,101.2529468",0.485,0.68,0.29,0.8,35.25,40.5,30,1
ท่าเรือข้ามฟากสงขลา (ฝั่งสงขลา),7.2180985,100.57996240000001,"7.2180985,100.57996240000001",0.7250000000000001,1.35,0.1,0.21,37.75,49.5,26,1
ท่าเรือข้ามฟากสงขลา (ฝั่งหัวเขาแดง),7.2209686,100.5748434,"7.2209686,100.5748434",0.0,0.0,0.0,0.62,13.9,12.8,15,1
ท่าเรือคงคา,8.061873,98.919443,"8.061873,98.919443",1.475,1.81,1.14,1.23,44.42,50.833333333333336,38,1
ท่าเรือทุ่งมะขามน้อย,10.3583753,99.2662816,"10.3583753,99.2662816",1.72,1.97,1.47,1.55,47.71,50.42857142857143,45,1
ท่าเรือปากบารา,6.8603952,99.7216042,"6.8603952,99.7216042",1.79,2.66,0.92,1.36,48.67,61.333333333333336,36,1
ท่าเรือรัษฎา,7.8712791,98.4143437,"7.8712791,98.4143437",1.625,1.97,1.28,1.47,44.13,49.266666666666666,39,1
ท่าเรือสวนเจ้าฟ้า,8.0630289,98.91930119999999,"8.0630289,98.91930119999999",1.7349999999999999,2.29,1.18,1.46,48.15,58.3,38,1
ท่าเรือสุระกุล,8.390053446,98.46033096,"8.390053446,98.46033096",1.33,1.15,1.51,1.5,39.75,36.5,43,1
สถานีขนส่งผู้โดยสารจังหวัดกระบี่,8.0998704,98.90585390000001,"8.0998704,98.90585390000001",1.855,2.32,1.39,1.29,49.93,54.857142857142854,45,1
สถานีขนส่งผู้โดยสารจังหวัดตรัง,7.566780199999999,99.6278764,"7.566780199999999,99.6278764",1.75,1.86,1.64,0.85,49.1,55.2,43,1
สถานีขนส่งผู้โดยสารจังหวัดนครศรีธรรมราช,8.4352857,99.95228370000001,"8.4352857,99.95228370000001",1.445,1.54,1.35,1.44,42.57,44.142857142857146,41,1
สถานีขนส่งผู้โดยสารจังหวัดนราธิวาส,6.410893799999999,101.8261222,"6.410893799999999,101.8261222",1.635,1.94,1.33,1.01,48.91,53.8125,44,1
สถานีขนส่งผู้โดยสารจังหวัดปัตตานี,6.862338900000001,101.2696499,"6.862338900000001,101.2696499",1.8599999999999999,2.28,1.44,1.06,49.25,56.5,42,1
สถานีขนส่งผู้โดยสารจังหวัดพังงา,8.432091,98.52278299999999,"8.432091,98.52278299999999",1.92,2.39,1.45,1.22,50.72,57.4375,44,1
สถานีขนส่งผู้โดยสารจังหวัดพัทลุง,7.6322079,100.04726190000001,"7.6322079,100.04726190000001",1.935,2.27,1.6,1.08,51.91,59.8125,44,1
สถานีขนส่งผู้โดยสารจังหวัดภูเก็ต แห่งที่ 2,7.9178428,98.39493900000001,"7.9178428,98.39493900000001",2.14,2.56,1.72,1.54,57.07,64.13333333333334,50,1
สถานีขนส่งผู้โดยสารจังหวัดระนอง,9.9548572,98.6387998,"9.9548572,98.6387998",1.6600000000000001,1.83,1.49,1.85,47.79,49.57142857142857,46,1
สถานีขนส่งผู้โดยสารจังหวัดสุราษฎร์ธานี,9.111613400000001,99.2983044,"9.111613400000001,99.2983044",2.19,2.57,1.81,1.71,52.46,61.92857142857143,43,1
สถานีขนส่งผู้โดยสารปฐมพร (บขส.ชุมพร),10.4869959,99.1206392,"10.4869959,99.1206392",1.75,1.88,1.62,1.21,46.5,50.0,43,1
สถานีขนส่งผู้โดยสารเทศบาลนครยะลา,6.5559716,101.2682503,"6.5559716,101.2682503",1.1949999999999998,1.44,0.95,0.88,40.79,44.588235294117645,37,1
สถานีขนส่งสตูล,6.597249000000001,100.066571,"6.597249000000001,100.066571",2.09,2.59,1.59,0.91,53.27,61.53333333333333,45,1
สถานีขนส่งหาดใหญ่,6.9946619000000005,100.48195009999999,"6.9946619000000005,100.48195009999999",1.625,1.91,1.34,1.22,47.47,54.93333333333333,40,1
สถานีรถไฟชุมทางทุ่งสง,8.170674,99.679337,"8.170674,99.679337",2.13,2.43,1.83,1.42,51.8,56.6,47,1
สถานีรถไฟชุมทางหาดใหญ่,7.0039039999999995,100.467676,"7.0039039999999995,100.467676",1.9,2.14,1.66,1.48,52.39,56.785714285714285,48,1
สถานีรถไฟชุมพร,10.502997,99.175949,"10.502997,99.175949",1.875,2.12,1.63,0.69,48.56,53.125,44,1
สถานีรถไฟตรัง,7.55448,99.6046,"7.55448,99.6046",2.0300000000000002,2.41,1.65,1.26,51.97,58.9375,45,1
สถานีรถไฟปัตตานี (โคกโพธิ์),6.72947,101.094,"6.72947,101.094",1.745,1.85,1.64,0.86,46.76,47.529411764705884,46,1
สถานีรถไฟพัทลุง,7.620982000000001,100.0856112,"7.620982000000001,100.0856112",2.585,2.93,2.24,1.42,61.6,70.2,53,1
สถานีรถไฟยะลา,6.560467699999999,101.29282020000001,"6.560467699999999,101.29282020000001",1.62,1.7,1.54,1.21,43.88,46.76470588235294,41,1
สถานีรถไฟสุราษฎร์ธานี,9.104137,99.23048,"9.104137,99.23048",1.575,1.42,1.73,1.22,48.5,46.0,51,1
สถานีรถไฟสุไหงโก-ลก,6.02571,101.963,"6.02571,101.963",2.115,2.36,1.87,1.43,52.59,59.1764705882353,46,1
ท่าอากาศยานกระบี่,8.099280199999999,98.98319479999999,"8.099280199999999,98.98319479999999",2.8,2.93,2.67,2.22,66.19,67.375,65,2
ท่าอากาศยานชุมพร,10.714486099999998,99.3587278,"10.714486099999998,99.3587278",2.825,3.21,2.44,2.22,66.1,72.2,60,2
ท่าอากาศยานตรัง,7.512011,99.61547,"7.512011,99.61547",2.52,2.88,2.16,2.04,61.32,67.64285714285714,55,2
ท่าอากาศยานนครศรีธรรมราช,8.540025,99.9399875,"8.540025,99.9399875",2.565,2.57,2.56,2.11,60.25,58.5,62,2
ท่าอากาศยานนราธิวาส,6.5231381,101.74872459999999,"6.5231381,101.74872459999999",1.92,2.13,1.71,2.04,49.38,52.75,46,2
ท่าอากาศยานนานาชาติภูเก็ต,8.1110951,98.3064646,"8.1110951,98.3064646",2.8449999999999998,3.04,2.65,2.17,66.07,69.14285714285714,63,2
